pgn,name
e4 e5 f4 exf4 Nf3 g5 h4 g4 Ne5 Nf6 Bc4 d5 exd5 Bd6 O-O Bxe5,"King's Gambit Accepted, Kieseritzky Gambit, Rice Gambit"
e4 e5 f4 exf4 Nf3 g5 h4 g4 Ne5 Qe7,"King's Gambit Accepted, Kieseritzky Gambit, Rosenthal Defense"
e4 e5 f4 exf4 Nf3 g5 h4 g4 Ne5 h5 Bc4 Rh7 d4 Bh6 Nc3,"King's Gambit Accepted, Kieseritzky, Long Whip Defense, Jaenisch Variation"
e4 e5 f4 exf4 Nf3 g5 h4 g4 Ne5 Be7,"King's Gambit Accepted, Kieseritzky, Polerio Defense"
e4 e5 f4 exf4 Nf3 g5 h4 g4 Ne5 Nf6 Bc4 d5 exd5 Bd6 O-O,"King's Gambit Accepted, Kieseritzky, Rice Gambit"
e4 e5 f4 exf4 Nf3 g5 h4 g4 Ne5 Qe7 d4 f5 Bc4,"King's Gambit Accepted, Kieseritzky, Salvio Defense, Cozio Variation"
e4 e5 f4 exf4 Nf3 g5 h4,"King's Gambit Accepted, King's Knight's Gambit"
e4 e5 Nf3 d5,Elephant Gambit
e4 e5 Nf3 d5 exd5 Bd6,"Elephant Gambit, Maróczy Gambit"
e4 e5 Nf3 d5 exd5 e4,"Elephant Gambit, Paulsen Countergambit"
e4 e5 Nf3 d5 Nxe5 dxe4 Bc4 Qg5,"Elephant Gambit, Wasp Variation"
e4 e5 Nf3 Qe7,Gunderam Defense
e4 e5 Nf3,King's Knight Opening
e4 e5 Nf3 Bc5,"King's Pawn Game, Busch-Gass Gambit"
e4 e5 Nf3 Bc5 Nxe5 Nc6,"King's Pawn Game, Busch-Gass Gambit, Chiodini Gambit"
e4 e5 Nf3 f6,"King's Pawn Game, Damiano Defense"
e4 e5 Nf3 f6 Nxe5 fxe5 Qh5+ g6 Qxe5+ Qe7 Qxh8,"King's Pawn Game, Damiano Defense, Damiano Gambit"
e4 e5 Nf3 f6 Nxe5 Qe7 Nf3 d5,"King's Pawn Game, Damiano Defense, Damiano Gambit, Chigorin Gambit"
e4 e5 Nf3 Qe7 Bc4 f5,"King's Pawn Game, Gunderam Defense, Gunderam Gambit"
e4 e5 Nf3 c6,"King's Pawn Game, Gunderam Gambit"
e4 e5 Nf3 Qf6 Bc4 Qg6 O-O,"King's Pawn Game, La Bourdonnais Gambit"
e4 e5 Nf3 Qf6,"King's Pawn Game, McConnell Defense"
e4 e5 Nf3 f5,Latvian Gambit
e4 e5 Nf3 f5 exf5,Latvian Gambit Accepted
e4 e5 Nf3 f5 Nxe5 Qf6 d4 d6 Nc4,"Latvian Gambit Accepted, Bilguer Variation"
e4 e5 Nf3 f5 Nxe5 Qf6 d4 d6 Nc4 fxe4 Be2,"Latvian Gambit Accepted, Bronstein Attack"
e4 e5 Nf3 f5 Nxe5 Qf6 d4 d6 Nc4 fxe4 Qh5+ g6 Qe2,"Latvian Gambit Accepted, Bronstein Gambit"
e4 e5 Nf3 f5 Nxe5 Qf6 Nc4 fxe4 d3,"Latvian Gambit Accepted, Foltys Variation"
e4 e5 Nf3 f5 Nxe5 Qf6 Nc4,"Latvian Gambit Accepted, Foltys-Leonhardt Variation"
e4 e5 Nf3 f5 Nxe5 Qf6 Nc4 fxe4 Nc3,"Latvian Gambit Accepted, Leonhardt Variation"
e4 e5 Nf3 f5 Nxe5 Qf6 d4,"Latvian Gambit Accepted, Main Line"
e4 e5 Nf3 f5 Nxe5 Qf6 d4 d6 Nc4 fxe4 Ne3,"Latvian Gambit Accepted, Nimzowitsch Attack"
e4 e5 Nf3 f5 Bc4 fxe4 Nxe5 Qg5 Nf7 Qxg2 Rf1 d5 Nxh8 Nf6,"Latvian Gambit, Behting Variation"
e4 e5 Nf3 f5 Bc4 fxe4 Nxe5 Nf6,"Latvian Gambit, Corkscrew Countergambit"
e4 e5 Nf3 f5 Nxe5 Nf6 Bc4 fxe4 Nf7 Qe7 Nxh8 d5,"Latvian Gambit, Corkscrew Gambit"
e4 e5 Nf3 f5 c4,"Latvian Gambit, Diepstraten Countergambit"
e4 e5 Nf3 f5 Nxe5 Nc6,"Latvian Gambit, Fraser Defense"
e4 e5 Nf3 f5 Nxe5 Qe7,"Latvian Gambit, Greco Variation"
e4 e5 Nf3 f5 g4,"Latvian Gambit, Lobster Gambit"
e4 e5 Nf3 f5 d4,"Latvian Gambit, Mason Countergambit"
e4 e5 Nf3 f5 Bc4,"Latvian Gambit, Mayet Attack"
e4 e5 Nf3 f5 Bc4 Nf6,"Latvian Gambit, Mayet Attack, Morgado Defense"
e4 e5 Nf3 f5 Bc4 fxe4 Nxe5 Qg5 d4 Qxg2,"Latvian Gambit, Mayet Attack, Poisoned Pawn Variation"
e4 e5 Nf3 f5 Bc4 fxe4 Nxe5 d5,"Latvian Gambit, Mayet Attack, Polerio-Svedenborg Variation"
e4 e5 Nf3 f5 Bc4 b5,"Latvian Gambit, Mayet Attack, Strautins Gambit"
e4 e5 Nf3 f5 Nc3,"Latvian Gambit, Mlotkowski Variation"
e4 e5 Nf3 f5 b4,"Latvian Gambit, Senechaud Gambit"
e4 e5 Nf3 d6,Philidor Defense
e4 e5 Nf3 d6 d4,Philidor Defense
e4 e5 Nf3 d6 Bc4,Philidor Defense
e4 e5 Nf3 d6 Bc4 Be7,Philidor Defense
e4 e5 Nf3 d6 d4 Bg4 dxe5 Nd7,"Philidor Defense, Albin-Blackburne Gambit"
e4 e5 Nf3 d6 d4 exd4 Nxd4 Nf6 Nc3 Be7 Be2 O-O O-O c5 Nf3 Nc6 Bg5 Be6 Re1,"Philidor Defense, Berger Variation"
e4 e5 Nf3 d6 d4 exd4 c3,"Philidor Defense, Bird Gambit"
e4 e5 Nf3 d6 d4 exd4 Qxd4 Bd7,"Philidor Defense, Boden Variation"
e4 e5 Nf3 d6 d4 exd4,"Philidor Defense, Exchange Variation"
e4 e5 Nf3 d6 d4 exd4 Nxd4,"Philidor Defense, Exchange Variation"
e4 e5 Nf3 d6 d4 exd4 Nxd4 Nf6,"Philidor Defense, Exchange Variation"
e4 e5 Nf3 d6 d4 Nd7,"Philidor Defense, Hanham Variation"
e4 e5 Nf3 d6 d4 Nd7 Bc4 c6 c3,"Philidor Defense, Hanham Variation, Delmar Variation"
e4 e5 Nf3 d6 d4 Nd7 Bc4 c6 O-O,"Philidor Defense, Hanham Variation, Krause Variation"
e4 e5 Nf3 d6 d4 Nd7 Bc4 c6 Nc3,"Philidor Defense, Hanham Variation, Schlechter Variation"
e4 e5 Nf3 d6 d4 Nd7 Bc4 Nb6,"Philidor Defense, Hanham Variation, Sharp Variation"
e4 e5 Nf3 d6 d4 Nd7 Bc4 c6 O-O Be7 dxe5,"Philidor Defense, Hanham Variation, Steiner Variation"
e4 e5 Nf3 d6 d4 Nd7 Bc4 c6 Ng5,"Philidor Defense, Hanham, Kmoch Variation"
e4 e5 Nf3 d6 d4 exd4 Nxd4 g6,"Philidor Defense, Larsen Variation"
e4 e5 Nf3 d6 d4 Nf6 Nc3 Nbd7,"Philidor Defense, Lion Variation"
e4 e5 Nf3 d6 d4 Nf6 Nc3 Nbd7 Bc4 Be7 Bxf7+,"Philidor Defense, Lion Variation, Bishop Sacrifice"
e4 d6 d4 Nf6 Nc3 Nbd7 Nf3 e5 Bc4 Be7 dxe5 dxe5 Bxf7+,"Philidor Defense, Lion Variation, Delayed Bishop Sacrifice"
e4 e5 Nf3 d6 d4 Nf6 Nc3 Nbd7 Bc4 Be7 Ng5 O-O Bxf7+ Rxf7 Ne6,"Philidor Defense, Lion Variation, Forcing Line"
e4 e5 Nf3 d6 d4 Nf6 Nc3 Nbd7 Bc4 Be7 O-O h6,"Philidor Defense, Lion Variation, Lion's Claw, with Bc4 and h6"
e4 e5 Nf3 d6 d4 Nf6 Nc3 Nbd7 Be2 Be7 O-O c6,"Philidor Defense, Lion Variation, Lion's Claw, with Be2 and c6"
e4 e5 Nf3 d6 d4 Nd7 Nc3 Ngf6 g4,"Philidor Defense, Lion Variation, Shirov Gambit"
e4 d6 d4 Nf6 Nc3 e5 Nf3 Nbd7 Bc4 Be7 O-O O-O Qe2 c6 a4 exd4,"Philidor Defense, Lion Variation, Sozin Variation"
e4 e5 Nf3 d6 Bc4 f5,"Philidor Defense, Lopez Countergambit"
e4 e5 Nf3 d6 d4 f5 Bc4 exd4 Ng5 Nh6 Nxh7,"Philidor Defense, Lopez Countergambit, Jaenisch Variation"
e4 e5 Nf3 d6 d4 exd4 Bc4,"Philidor Defense, Morphy Gambit"
e4 e5 Nf3 d6 d4 Nf6,"Philidor Defense, Nimzowitsch Variation"
e4 e5 Nf3 d6 d4 Nf6 dxe5,"Philidor Defense, Nimzowitsch Variation"
e4 e5 Nf3 d6 d4 Nf6 Bc4,"Philidor Defense, Nimzowitsch Variation, Klein Variation"
e4 e5 Nf3 d6 d4 Nf6 dxe5 Nxe4 Qd5,"Philidor Defense, Nimzowitsch Variation, Rellstab Variation"
e4 e5 Nf3 d6 d4 Nf6 dxe5 Nxe4 Nbd2,"Philidor Defense, Nimzowitsch Variation, Sokolsky Variation"
e4 e5 Nf3 d6 d4 Nf6 Nc3 Nbd7 Bc4 Be7 Ng5 O-O Bxf7+,"Philidor Defense, Nimzowitsch, Larobok Variation"
e4 e5 Nf3 d6 d4 Nf6 Ng5,"Philidor Defense, Nimzowitsch, Locock Variation"
e4 e5 Nf3 d6 d4 exd4 Nxd4 d5 exd5,"Philidor Defense, Paulsen Attack"
e4 e5 Nf3 d6 d4 f5,"Philidor Defense, Philidor Countergambit"
e4 e5 Nf3 d6 d4 f5 dxe5 fxe4 Ng5 d5 e6 Bc5 Nc3,"Philidor Defense, Philidor Countergambit, Berger Variation"
e4 e5 Nf3 d6 d4 f5 Nc3,"Philidor Defense, Philidor Countergambit, Zukertort Variation"
e4 e5 Nf3 d6 d4 f5 dxe5 fxe4 Ng5 d5 e6,"Philidor Defense, Philidor Countergambit, del Rio Attack"
e4 e5 Nf3 d6 d4 Bd7,"Philidor Defense, Philidor Gambit"
e4 e5 Nf3 d6 Bc4 Be7 c3,"Philidor Defense, Steinitz Variation"
e4 e5 Nf3 Nf6,Petrov's Defense
e4 e5 Nf3 Nf6 Nxe5,Petrov's Defense
e4 e5 Nf3 Nf6 Nxe5 d6,Petrov's Defense
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3,Petrov's Defense
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4,Petrov's Defense
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4,"Petrov's Defense, Classical Attack"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Be7 O-O Nc6 Re1 Bg4 c3 f5 Nbd2,"Petrov's Defense, Classical Attack, Berger Variation"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Be7 O-O Nc6 Re1,"Petrov's Defense, Classical Attack, Chigorin Variation"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Nc6 O-O Be7 c4 Nb4 cxd5,"Petrov's Defense, Classical Attack, Chigorin Variation, Browne Attack"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Nc6 O-O Be7 c4 Nb4 Be2,"Petrov's Defense, Classical Attack, Chigorin Variation, Main Line"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 Nf6,"Petrov's Defense, Classical Attack, Closed Variation"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Nc6 O-O Be7 c4,"Petrov's Defense, Classical Attack, Jaenisch Variation"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Nc6 O-O Be7 Re1 Bg4 c3 f5 c4,"Petrov's Defense, Classical Attack, Krause Variation"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Bd6 O-O O-O c4 Bg4 cxd5 f5 Re1 Bxh2+,"Petrov's Defense, Classical Attack, Marshall Trap"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Bd6,"Petrov's Defense, Classical Attack, Marshall Variation"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Bd6 O-O O-O c4 c6 Re1 Bg4,"Petrov's Defense, Classical Attack, Marshall Variation, Chinese Gambit"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Be7 O-O Nc6 Re1 Bg4 c3 f5 c4 Bh4,"Petrov's Defense, Classical Attack, Maróczy Variation"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Be7 O-O O-O,"Petrov's Defense, Classical Attack, Mason Variation"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Nc6,"Petrov's Defense, Classical Attack, Mason-Showalter Variation"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Bd6 O-O O-O c4 c6,"Petrov's Defense, Classical Attack, Staunton Variation"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Bd6 O-O O-O c4 Bg4,"Petrov's Defense, Classical Attack, Tarrasch Variation"
e4 e5 Nf3 Nf6 Nxe5 d6 Nxf7,"Petrov's Defense, Cochrane Gambit"
e4 e5 Nf3 Nf6 Nxe5 d6 Nxf7 Kxf7 Bc4+,"Petrov's Defense, Cochrane Gambit, Bishop Check Line"
e4 e5 Nf3 Nf6 Nxe5 d6 Nxf7 Kxf7 d4,"Petrov's Defense, Cochrane Gambit, Center Variation"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 Qe2,"Petrov's Defense, Cozio Attack"
e4 e5 Nf3 Nf6 Nxe5 Nxe4,"Petrov's Defense, Damiano Variation"
e4 e5 Nf3 Nf6 Nxe5 Nxe4 Qe2 Qe7,"Petrov's Defense, Damiano Variation, Kholmov Gambit"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d3,"Petrov's Defense, French Attack"
e4 e5 Nf3 Nf6 Bc4,"Petrov's Defense, Italian Variation"
e4 e5 Nf3 Nf6 Nxe5 d6 Nd3,"Petrov's Defense, Karklins-Martinovsky Variation"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 c4,"Petrov's Defense, Kaufmann Attack"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 Bd3,"Petrov's Defense, Millennium Attack"
e4 e5 Nf3 Nf6 Qe2 Nc6 d4,"Petrov's Defense, Moody Gambit"
e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 Nc3,"Petrov's Defense, Nimzowitsch Attack"
e4 e5 Nf3 Nf6 Nxe5 d6 Nc4,"Petrov's Defense, Paulsen Attack"
e4 e5 Nf3 Nf6 Nxe5 Nc6,"Petrov's Defense, Stafford Gambit"
e4 e5 Nf3 Nf6 Nxe5 Nc6 Nxc6 dxc6,"Petrov's Defense, Stafford Gambit Accepted"
e4 e5 Nf3 Nf6 Nxe5 Nc6 Nxc6 dxc6 Nc3 Bc5,"Petrov's Defense, Stafford Gambit Accepted"
e4 e5 Nf3 Nf6 Nxe5 Nc6 Nxc6 dxc6 d3 Bc5,"Petrov's Defense, Stafford Gambit Accepted"
e4 e5 Nf3 Nf6 Nc3,"Petrov's Defense, Three Knights Game"
e4 e5 Bc4 Nf6 d4 exd4 Nf3,"Bishop's Opening, Urusov Gambit"
e4 e5 Bc4 Nf6 d4 exd4 Nf3 Nxe4 Qxd4,"Bishop's Opening, Urusov Gambit, Keidansky Gambit"
e4 e5 Nf3 Nf6 d4,"Petrov's Defense, Modern Attack"
e4 e5 Nf3 Nf6 d4 exd4,"Petrov's Defense, Modern Attack"
e4 e5 Nf3 Nf6 d4 exd4 e5 Ne4 Qe2 Nc5 Nxd4 Nc6,"Petrov's Defense, Modern Attack, Bardeleben Variation"
e4 e5 Nf3 Nf6 d4 exd4 e5 Ne4 Qxd4,"Petrov's Defense, Modern Attack, Center Attack"
e4 e5 Nf3 Nf6 d4 Nxe4 Bd3,"Petrov's Defense, Modern Attack, Center Variation"
e4 e5 Nf3 Nf6 d4 Nxe4 Bd3 Nc6,"Petrov's Defense, Modern Attack, Murrey Variation"
e4 e5 Nf3 Nf6 d4 exd4 e5 Ne4 Qe2,"Petrov's Defense, Modern Attack, Steinitz Variation"
e4 e5 Nf3 Nf6 d4 d5,"Petrov's Defense, Modern Attack, Symmetrical Variation"
e4 e5 Nf3 Nf6 d4 exd4 e5 Ne4 Bb5,"Petrov's Defense, Modern Attack, Tal Gambit"
e4 e5 Nf3 Nf6 d4 Nxe4 Bd3 d5 Nxe5 Bd6 O-O O-O c4 Bxe5,"Petrov's Defense, Modern Attack, Trifunovic Variation"
e4 e5 Nf3 Nc6 c4 Nf6 Nxe5,"Dresden Opening, The Goblin"
e4 e5 Nf3 Nc6 Nxe5,Irish Gambit
e4 e5 Nf3 Nc6 g3,"King's Knight Opening, Konstantinopolsky"
e4 e5 Nf3 Nc6,"King's Knight Opening, Normal Variation"
e4 e5 Nf3 Nc6 c4,"King's Pawn Game, Dresden Opening"
e4 e5 Nf3 Nc6 b4,"King's Pawn Game, Pachman Wing Gambit"
e4 e5 Nf3 Nc6 Nxe5 Nxe5 d4,"King's Pawn Game, Schulze-Müller Gambit"
e4 e5 Nf3 Nc6 Be2,"King's Pawn Game, Tayler Opening"
e4 e5 Nf3 Nc6 Be2 Nf6 d4,"King's Pawn Game, Tayler Opening"
e4 e5 Nf3 Nc6 Be2 Nf6 d4 exd4 e5,"King's Pawn Game, Tayler Opening, Basman Gambit"
e4 e5 Nf3 Nc6 Be2 Nf6 d3 d5 Nbd2,"King's Pawn Game, Tayler Opening, Inverted Hanham"
e4 e5 Nf3 Nc6 d3 f5 exf5,"Latvian Gambit, Clam Gambit"
e4 e5 Nf3 Nc6 c3,Ponziani Opening
e4 e5 Nf3 Nc6 c3 d5 Qa4 Bd7,"Ponziani Opening, Caro Gambit"
e4 e5 Nf3 Nc6 c3 Nf6,"Ponziani Opening, Jaenisch Counterattack"
e4 e5 Nf3 Nc6 c3 Nf6 d3,"Ponziani Opening, Jaenisch Counterattack"
e4 e5 Nf3 Nc6 c3 Nf6 d3 d5,"Ponziani Opening, Jaenisch Counterattack"
e4 e5 Nf3 Nc6 c3 Nf6 d3 d5 Nbd2,"Ponziani Opening, Jaenisch Counterattack"
e4 e5 Nf3 Nc6 c3 d5 Qa4 Nf6,"Ponziani Opening, Leonhardt Variation"
e4 e5 Nf3 Nc6 c3 Nf6 Bc4,"Ponziani Opening, Neumann Gambit"
e4 e5 Nf3 Nc6 c3 f5,"Ponziani Opening, Ponziani Countergambit"
e4 e5 Nf3 Nc6 c3 f5 d4 d6 d5,"Ponziani Opening, Ponziani Countergambit, Schmidt Attack"
e4 e5 Nf3 Nc6 c3 Be7,"Ponziani Opening, Romanishin Variation"
e4 e5 Nf3 Nc6 c3 Nge7,"Ponziani Opening, Réti Variation"
e4 e5 Nf3 Nc6 c3 d5 Bb5,"Ponziani Opening, Spanish Variation"
e4 e5 Nf3 Nc6 c3 d5 Bb5 dxe4 Nxe5 Qd5 Qa4,"Ponziani Opening, Spanish Variation, Harrwitz Attack, Nikitin Gambit"
e4 e5 Nf3 Nc6 c3 d5 Qa4 f6,"Ponziani Opening, Steinitz Variation"
e4 e5 Nf3 Nc6 c3 Nf6 d4 Nxe4 d5 Bc5,"Ponziani Opening, Vukovic Gambit"
e4 e5 Nf3 Nc6 d4,Scotch Game
e4 e5 Nf3 Nc6 d4 exd4,Scotch Game
e4 e5 Nf3 Nc6 Bc4 Be7 d4 exd4,"Scotch Game, Benima Defense"
e4 e5 Nf3 Nc6 d4 exd4 Bc4 Bb4+ c3 dxc3 bxc3 Ba5 e5,"Scotch Game, Cochrane Variation"
e4 e5 Nf3 Nc6 d4 exd4 Bc4 Bc5 Ng5 Nh6 Nxf7 Nxf7 Bxf7+ Kxf7 Qh5+ g6 Qxc5 d5,"Scotch Game, Cochrane-Shumov Defense"
e4 e5 Nf3 Nc6 d4 exd4 c3,"Scotch Game, Göring Gambit"
e4 e5 Nf3 Nc6 d4 exd4 c3 dxc3 Bc4 Nf6 Nxc3 Bb4,"Scotch Game, Göring Gambit, Bardeleben Variation"
e4 e5 Nf3 Nc6 d4 exd4 c3 dxc3 Bc4,"Scotch Game, Göring Gambit, Double Pawn Sacrifice"
e4 e5 Nf3 Nc6 d4 exd4 c3 dxc3 Nxc3 Bb4,"Scotch Game, Göring Gambit, Main Line"
e4 e5 Nf3 Nc6 d4 exd4 Bc4 Bb4+ c3 dxc3 O-O cxb2 Bxb2 Nf6 Ng5 O-O e5 Nxe5,"Scotch Game, Hanneken Variation"
e4 e5 Nf3 Nc6 d4 exd4 Bc4 Bc5,"Scotch Game, Haxo Gambit"
e4 e5 Nf3 Nc6 d4 Nxd4,"Scotch Game, Lolli Variation"
e4 e5 Nf3 Nc6 d4 Nxd4 Nxd4 exd4 Qxd4,"Scotch Game, Lolli Variation"
e4 e5 Nf3 Nc6 d4 Nxd4 Nxd4 exd4 Bc4,"Scotch Game, Napoleon Gambit"
e4 e5 Nf3 Nc6 d4 exd4 Bb5,"Scotch Game, Relfsson Gambit"
e4 e5 Nf3 Nc6 d4 exd4 Bc4,"Scotch Game, Scotch Gambit"
e4 e5 Nf3 Nc6 d4 exd4 Bc4 Nf6 e5,"Scotch Game, Scotch Gambit, Advance Variation"
e4 e5 Nf3 Nc6 d4 exd4 Bc4 Bc5 O-O d6 c3 Bg4,"Scotch Game, Scotch Gambit, Cochrane-Anderssen Variation"
e4 e5 Nf3 Nc6 Bc4 Nf6 d4 exd4,"Scotch Game, Scotch Gambit, Dubois Réti Defense"
e4 e5 Nf3 Nc6 d4 exd4 c3 d5,"Scotch Game, Scotch Gambit, Göring Gambit Declined"
e4 e5 Nf3 Nc6 Bc4 Nf6 d4 exd4 e5 Ng4,"Scotch Game, Scotch Gambit, Kingside Variation"
e4 e5 Nf3 Nc6 d4 exd4 Bc4 Bb4+,"Scotch Game, Scotch Gambit, London Defense"
e4 e5 Nf3 Nc6 d4 exd4 Bc4 Bc5 Ng5,"Scotch Game, Scotch Gambit, Sarratt Variation"
e4 e5 Nf3 Nc6 d4 exd4 c3 dxc3 Nxc3 d6 Bc4 Bg4 O-O Ne5 Nxe5 Bxd1 Bxf7+ Ke7 Nd5#,"Scotch Game, Sea-Cadet Mate"
e4 e5 Nf3 Nc6 d4 exd4 Bc4 Bc5 Ng5 Nh6 Qh5,"Scotch Game, Vitzthum Attack"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4,Scotch Game
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Qh4 Nb5 Bb4+ Bd2,Scotch Game
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 e5,"Scotch Game, Alekhine Gambit"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Be3 Qf6 Nb5,"Scotch Game, Blumenfeld Attack"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Qh4 Be3,"Scotch Game, Braune Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5,"Scotch Game, Classical Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Be3 Qf6 c3 Nge7 Qd2,"Scotch Game, Classical Variation, Blackburne Attack"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Nxc6 Qf6,"Scotch Game, Classical Variation, Intermezzo Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Be3 Qf6 c3 Qg6,"Scotch Game, Classical Variation, Millennium Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Qh4 Nf3,"Scotch Game, Fraser Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nxd4 Qxd4 d6 Bd3,"Scotch Game, Ghulam-Kassim Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Be3 Qf6 c3 Nge7 Qd2 d5 Nb5 Bxe3 Qxe3 O-O Nxc7 Rb8 Nxd5 Nxd5 exd5 Nb4,"Scotch Game, Gottschall Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Qh4 Nb5,"Scotch Game, Horwitz Attack"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Qh4 Nb5 Bb4+ Bd2 Qxe4+ Be2 Kd8 O-O Bxd2 Qxd2,"Scotch Game, Horwitz Attack, Blackburne Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bb4+,"Scotch Game, Malaniuk Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Be3 Qf6 c3 Nge7 Nc2,"Scotch Game, Meitner Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 Nxc6 bxc6 e5,"Scotch Game, Mieses Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Qh4 Nc3 Bb4,"Scotch Game, Modern Defense"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Be3 Qf6 c3 Nge7 Bb5,"Scotch Game, Paulsen Attack"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Qh4 Nf5,"Scotch Game, Paulsen Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Be3 Qf6 c3 Nge7 Bb5 Nd8,"Scotch Game, Paulsen, Gunsberg Defense"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Nb3,"Scotch Game, Potter Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Nb3 Bb4+,"Scotch Game, Romanishin Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Qh4 Nb5 Bb4+ Bd2 Qxe4+ Be2 Kd8 O-O Bxd2 Nxd2 Qg6,"Scotch Game, Rosenthal Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6,"Scotch Game, Schmidt Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Qh4,"Scotch Game, Steinitz Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Qh4 Nc3,"Scotch Game, Steinitz Variation"
e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 Nxc6 bxc6 Nd2,"Scotch Game, Tartakower Variation"
e4 e5 Nf3 Nc6 Nc3,Three Knights Opening
e4 e5 Nf3 Nc6 Nc3 Bb4,Three Knights Opening
e4 e5 Nf3 Nc6 Nc3 Bb4 Nd5 Nf6,"Three Knights Opening, Schlechter Variation"
e4 e5 Nf3 Nc6 Nc3 g6,"Three Knights Opening, Steinitz Defense"
e4 e5 Nf3 Nc6 Nc3 g6 d4 exd4 Nd5,"Three Knights Opening, Steinitz-Rosenthal Variation"
e4 e5 Nf3 Nc6 Nc3 f5,"Three Knights Opening, Winawer Defense"
e4 e5 Nf3 Nc6 Nc3 Nf6,Four Knights Game
e4 e5 Nf3 Nc6 Nc3 Nf6 g3,"Four Knights Game, Glek System"
e4 e5 Nf3 Nc6 Nc3 Nf6 g3 d5 exd5 Nxd5 Bg2 Nxc3 bxc3,"Four Knights Game, Glek System"
e4 e5 Nf3 Nc6 Nc3 Nf6 a3,"Four Knights Game, Gunsberg Variation"
e4 e5 Nf3 Nc6 Nc3 Nf6 a3 d6 h3,"Four Knights Game, Gunsberg Variation, Provincial Opening"
e4 e5 Nf3 Nc6 Nc3 Nf6 Nxe5,"Four Knights Game, Halloween Gambit"
