pgn,name
a4 b6 d4 d5 Nc3 Nd7,"Ware Opening, Cologne Gambit"
a4 e5 h4,"Ware Opening, Crab Variation"
a4 e5 Ra3,"Ware Opening, Meadow Hay Trap"
a4 a5,"Ware Opening, Symmetric Variation"
a4 e5 a5 d5 e3 f5 a6,"Ware Opening, Ware Gambit"
a4 b5 axb5 Bb7,"Ware Opening, Wing Gambit"
b3,Nimzo-Larsen Attack
b3 d5,"Nimzo-Larsen Attack, Classical Variation"
b3 f5,"Nimzo-Larsen Attack, Dutch Variation"
b3 c5,"Nimzo-Larsen Attack, English Variation"
b3 d5 Ba3,"Nimzo-Larsen Attack, Graz Attack"
b3 Nf6,"Nimzo-Larsen Attack, Indian Variation"
b3 e5,"Nimzo-Larsen Attack, Modern Variation"
b3 e5 Bb2 Nc6,"Nimzo-Larsen Attack, Modern Variation"
b3 e5 Bb2 Nc6 e3,"Nimzo-Larsen Attack, Modern Variation"
b3 e5 Bb2 Nc6 c4 Nf6,"Nimzo-Larsen Attack, Modern Variation"
b3 e5 Bb2 Nc6 f4,"Nimzo-Larsen Attack, Pachman Gambit"
b3 b5,"Nimzo-Larsen Attack, Polish Variation"
b3 f5 Bb2 e6 e4,"Nimzo-Larsen Attack, Ringelbach Gambit"
b3 Nf6 Bb2 g6 g4,"Nimzo-Larsen Attack, Spike Variation"
b3 b6,"Nimzo-Larsen Attack, Symmetrical Variation"
f4,Bird Opening
f4 Nf6 Nf3 g6 b4,"Bird Opening, Batavo-Polish Attack"
f4 f5 d4 d5,"Bird Opening, Double Duck Formation"
f4 e5,"Bird Opening, From's Gambit"
f4 e5 Nc3,"Bird Opening, From's Gambit, Bahr Gambit"
f4 e5 fxe5 d6 exd6 Nf6,"Bird Opening, From's Gambit, Langheld Gambit"
f4 e5 fxe5 d6 exd6 Bxd6 Nf3 g5,"Bird Opening, From's Gambit, Lasker Variation"
f4 e5 fxe5 d6 exd6 Bxd6 Nf3 Nh6 d4,"Bird Opening, From's Gambit, Lipke Variation"
f4 g5,"Bird Opening, Hobbs Gambit"
f4 h6 Nf3 g5,"Bird Opening, Hobbs-Zilbermints Gambit"
f4 Nh6,"Bird Opening, Horsefly Defense"
f4 e5 fxe5 f6,"Bird Opening, Lasker Gambit"
f4 Nf6 c4,"Bird Opening, Mujannah"
f4 b5,"Bird Opening, Myers Defense"
f4 e5 fxe5 Ne7,"Bird Opening, Platz Gambit"
f4 e5 fxe5 Nc6,"Bird Opening, Schlechter Gambit"
f4 e5 d4 exd4 Nf3 c5 c3,"Bird Opening, Siegener Gambit"
f4 f5 e4 fxe4 Nc3 Nf6 g4,"Bird Opening, Swiss Gambit"
f4 f5 e4,"Bird Opening, Wagner-Zwitersch Gambit"
f4 d5,"Bird Opening, Dutch Variation"
f4 d5 g4,"Bird Opening, Dutch Variation, Dudweiler Gambit"
f4 d5 Nf3 Nf6 e3 c5,"Bird Opening, Lasker Variation"
f4 d5 c4,"Bird Opening, Sturm Gambit"
f4 d5 b3 Nf6 Bb2 d4 Nf3 c5 e3,"Bird Opening, Thomas Gambit"
f4 d5 e4,"Bird Opening, Williams Gambit"
f4 d5 e4 dxe4 Nc3 Nf6 Qe2,"Bird Opening, Williams Gambit"
f4 d5 e4 dxe4 Nc3 Nf6 Nge2,"Bird Opening, Williams-Zilbermints Gambit"
Nf3 c5 e3 g6 d4 Bg7 dxc5 Qa5+,"Colle System, Rhamphorhynchus Variation"
Nf3 c5 c4 g6 d4 Bg7 e4 Qb6,"Modern Defense, Semi-Averbakh Variation, Polish Variation"
Nf3 c5 c4 g6 d4 Bg7 e4 Qa5+,"Modern Defense, Semi-Averbakh Variation, Pterodactyl Variation"
Nf3 g6 d4 Bg7 e4 d6 c4 c5 dxc5 Qa5+,"Modern Defense, Semi-Averbakh Variation, Pterodactyl Variation Accepted"
Nf3 Nh6 d4 g6,"Zukertort Defense, Kingside Variation"
Nf3 Na6 e4 c5,"Zukertort Defense, Sicilian Knight Variation"
Nf3,Zukertort Opening
Nf3 f6,"Zukertort Opening, Arctic Defense"
Nf3 f6 e4 Nh6 d4 Nf7,"Zukertort Opening, Arctic Defense, Drunken Knight Variation"
Nf3 h6,"Zukertort Opening, Basman Defense"
Nf3 Nc6,"Zukertort Opening, Black Mustang Defense"
Nf3 Na6 e4 Nh6,"Zukertort Opening, Drunken Cavalry Variation"
Nf3 f5,"Zukertort Opening, Dutch Variation"
Nf3 g5,"Zukertort Opening, Herrstrom Gambit"
Nf3 g6,"Zukertort Opening, Kingside Fianchetto"
Nf3 f5 e4,"Zukertort Opening, Lisitsyn Gambit"
Nf3 f5 d3 Nf6 e4,"Zukertort Opening, Lisitsyn Gambit Deferred"
Nf3 d6,"Zukertort Opening, Pirc Invitation"
Nf3 b5,"Zukertort Opening, Polish Defense"
Nf3 e6,"Zukertort Opening, Queen's Gambit Invitation"
Nf3 b6,"Zukertort Opening, Queenside Fianchetto Variation"
Nf3 e5,"Zukertort Opening, Ross Gambit"
Nf3 e6 c4 a6 Nc3 c5 g3 b5,"Zukertort Opening, Shabalov Gambit"
Nf3 c5,"Zukertort Opening, Sicilian Invitation"
Nf3 c6,"Zukertort Opening, Slav Invitation"
Nf3 c5 d4 cxd4 e3,"Zukertort Opening, Speelsmet Gambit"
Nf3 a6,"Zukertort Opening, St. George Defense"
Nf3 e5 Nxe5 Nc6 Nxc6 dxc6,"Zukertort Opening, The Walrus"
Nf3 d6 d4 e5,"Zukertort Opening, Vos Gambit"
Nf3 d6 e4 Bg4,"Zukertort Opening, Wade Defense"
Nf3 a5,"Zukertort Opening, Ware Defense"
Nf3 Nf6 g3 d5,King's Indian Attack
Nf3 Nf6 g3 g6 b4,"King's Indian Attack, Smyslov Variation"
Nf3 Nf6 g3 b5,"King's Indian Attack, Spassky Variation"
Nf3 Nf6 g3 g6,"King's Indian Attack, Symmetrical Defense"
Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d3 d5,"King's Indian Attack, Wahls Defense"
Nf3 Nf6 b4 g6 Bb2,"Polish Opening, Zukertort System"
Nf3 Nf6,Zukertort Opening
Nf3 Nf6 Nc3 Nc6,Zukertort Opening
Nf3 Nf6 g3 g6 b3 Bg7 Bb2 O-O Bg2 d6 O-O,"Zukertort Opening, Double Fianchetto Attack"
Nf3 Nf6 e4,"Zukertort Opening, Lemberger Gambit"
Nf3 Nf6 a4 g6 b4,"Zukertort Opening, Myers Polish Attack"
Nf3 Nf6 b3,"Zukertort Opening, Nimzo-Larsen Variation"
Nf3 Nf6 e3,"Zukertort Opening, Quiet System"
Nf3 d5 b3,"Nimzo-Larsen Attack, Classical Variation"
Nf3 d5 b3 c5 e4,"Nimzo-Larsen Attack, Norfolk Gambit"
Nf3 d5 b3 Nf6 Bb2 c5 e4,"Nimzo-Larsen Attack, Norfolk Gambit"
Nf3 d5,Zukertort Opening
Nf3 d5 Rg1,"Zukertort Opening, Ampel Variation"
Nf3 d5 d3,"Zukertort Opening, Old Indian Attack"
Nf3 d5 e3 c5 c4 dxc4 b3,"Zukertort Opening, Pachman Gambit"
Nf3 d5 b3 c5 c4 dxc4 Nc3,"Zukertort Opening, Regina-Nu Gambit"
Nf3 d5 Nc3,"Zukertort Opening, Reversed Mexican Defense"
b4 d5 Nf3,"Zukertort Opening, Santasiere's Folly"
e4 d5 Nf3,"Zukertort Opening, Tennison Gambit"
e4 d5 Nf3 dxe4 Ng5 Nf6 Nc3 Bf5 Qe2 Qd4,"Zukertort Opening, Tennison Gambit, Brigg's Trap"
Nf3 d5 a4,"Zukertort Opening, The Potato"
g3 d5 Nf3 g5,"Hungarian Opening, Wiedenhagen-Beta Gambit"
Nf3 d5 g3,King's Indian Attack
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bf5,"King's Indian Attack, with Bf5"
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bf5 d3 h6,"King's Indian Attack, with Bf5"
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bf5 d3 h6 c4 dxc4,"King's Indian Attack, with Bf5"
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bf5 d3 e6 Nbd2,"King's Indian Attack, with Bf5"
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bf5 d3 e6 Nh4,"King's Indian Attack, with Bf5"
Nf3 Nf6 g3 d5 Bg2 e6,"King's Indian Attack, with e6"
Nf3 Nf6 g3 d5 Bg2 e6 O-O Be7,"King's Indian Attack, with e6"
Nf3 d5 g3 g6,"King's Indian Attack, Double Fianchetto"
Nf3 d5 g3 Bg4,"King's Indian Attack, Keres Variation"
Nf3 d5 g3 Bg4 Bg2 Nd7,"King's Indian Attack, Keres Variation"
Nf3 d5 g3 c6 Bg2 Bg4 O-O Nd7,"King's Indian Attack, Keres Variation"
Nf3 d5 g3 c6 Bg2 Bg4 O-O Nd7 d4 Ngf6 c4 e6 cxd5 exd5 Nc3 Bd6,"King's Indian Attack, Keres Variation"
Nf3 d5 g3 e5,"King's Indian Attack, Omega-Delta Gambit"
Nf3 d5 g3 g6 Bg2 Bg7 O-O e5 d3 Ne7,"King's Indian Attack, Pachman System"
Nf3 d5 g3 c5,"King's Indian Attack, Sicilian Variation"
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bg4,"King's Indian Attack, Yugoslav Variation"
c4 e6 Nf3 d5 g3 Nf6 Bg2 b6 O-O,"King's Indian Attack, Yugoslav Variation"
Nf3 d5 g3 c5 Bg2 Nc6,"King's Indian Attack, French Variation"
e4 e6 d3 d5 Nd2 Nf6 Ngf3 c5 g3 Nc6 Bg2 Be7 O-O O-O Re1,"King's Indian Attack, Sicilian Variation"
Nf3 d5 g3 c5 Bg2,"King's Indian Attack, Sicilian Variation"
Nf3 d5 g3 c5 Bg2 Nf6 O-O e6 d3,"King's Indian Attack, Sicilian Variation"
Nf3 d5 g3 c5 Bg2 Nc6 d4,"Zukertort Opening, Reversed Grünfeld"
Nf3 d5 g3 c5 Bg2 Nc6 d4 Nf6,"Zukertort Opening, Reversed Grünfeld"
Nf3 d5 g3 c5 Bg2 Nc6 d4 Nf6 O-O,"Zukertort Opening, Reversed Grünfeld"
Nf3 d5 g3 c5 Bg2 Nc6 d4 e6 O-O,"Zukertort Opening, Reversed Grünfeld"
Nf3 d5 c4,Réti Opening
Nf3 d5 c4 d4,"Réti Opening, Advance Variation"
Nf3 d5 c4 d4 b4 c5,"Réti Opening, Advance Variation, Michel Gambit"
Nf3 d5 c4 d4 b4 g5,"Réti Opening, Advance Variation, Navara Gambit"
Nf3 d5 c4 d4 Rg1,"Réti Opening, Penguin Variation"
Nf3 d5 c4 d4 e3 c5 b4,"Réti Opening, Reversed Blumenfeld Gambit"
Nf3 d5 c4 dxc4,"Réti Opening, Réti Accepted"
Nf3 d5 c4 dxc4 e3 Be6,"Réti Opening, Réti Gambit, Keres Variation"
Nf3 d5 c4 b5,"Réti Opening, Zilbermints Gambit"
c4,English Opening
c4 Nf6 e4,"English Opening, Achilles-Omega Gambit"
c4 g6 e4 e5,"English Opening, Adorjan Defense"
c4 f5,"English Opening, Anglo-Dutch Defense"
c4 f5 e4,"English Opening, Anglo-Dutch Defense, Hickmann Gambit"
c4 f5 Nf3 d6 e4,"English Opening, Anglo-Dutch Variation, Chabanon Gambit"
c4 f5 Nc3 Nf6 e4,"English Opening, Anglo-Dutch Variation, Ferenc Gambit"
c4 Nc6,"English Opening, Anglo-Lithuanian Variation"
c4 d5,"English Opening, Anglo-Scandinavian Defense"
c4 d5 cxd5 e6,"English Opening, Anglo-Scandinavian Defense, Löhn Gambit"
c4 d5 cxd5 Qxd5 Nc3 Qa5,"English Opening, Anglo-Scandinavian Defense, Malvinas Variation"
c4 d5 cxd5 Nf6,"English Opening, Anglo-Scandinavian Defense, Schulz Gambit"
c4 g6,"English Opening, Great Snake Variation"
c4 b5,"English Opening, Jaenisch Gambit"
c4 g6 Nc3 Bg7 g3 Nf6 Bg2 O-O e4 d6 Nge2 e5 O-O c6 d3 a6,"English Opening, King's English Variation, Botvinnik System, Prickly Pawn Pass System"
c4 g5,"English Opening, Myers Defense"
